ID,population,avg_household_size,level_up_access_pop_percent,sex_total_men,sex_total_women,race_hispanic_or_latino,race_not_hispanic_or_latino,race_american_indian_and_alaska_native,race_asian,race_black_or_african_american,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,race_two_or_more,race_two_or_more_excluding_some_ther_and_three_or_more,race_two_or_more_including_some_other,race_white_alone,occupation_population_16_and_over_total,occupation_management_business_science_and_arts,occupation_service,occupation_sales_and_office,occupation_natural_resources_construction_and_maintenance,occupation_production_transporation_and_material_moving,hh_with_computer_and_internet_total,hh_with_computer,hh_with_bb_internet_subscription,industry_agriculture_forestry_fishing_and_hunting_and_mining,industry_construction,industry_manufacturing,industry_wholesale_trade,industry_retail_trade,industry_transportation_and_warehousing_and_utilities,industry_information,industry_finance_and_insurance_real_estate_and_rental_and_leasi,industry_professional_scientific_management_administrative_and_,industry_educational_services_health_care_and_social_assistance,industry_arts_entertainment_recreation_accommodation_and_food_s,industry_other_services_except_public_administration,industry_public_administration,hh_with_income_total,hh_with_income_less_than_10000,hh_with_income_10000-14999,hh_with_income_15000-24999,hh_with_income_25000-34999,hh_with_income_35000-49999,hh_with_income50000-74999,hh_with_income_75000-99999,hh_with_income_100000-149999,hh_with_income_150000-199999,hh_with_income_200000_and_greater,hh_median_income,hh_mean_income,family_structure_hh_total,family_structure_hh_with_one_or_more_under_18,family_structure_hh_with_none_under_18,employment_16_and_over_in_labor_force,employment_employed,employment_unemployed,employment_not_in_labor_force,edu_pop_over_25_less_than_9th_grade,edu_pop_over_25_9th-12th_no_diploma,edu_pop_over_25_high_school_graduate,edu_pop_over_25_some_college_no_degree,edu_pop_over_25_associates_degree,edu_pop_over_25_bachelors_degree,edu_pop_over_25_graduate_or_professional_degree,disability_population_under_18,disability_population_18-64,disability_population_65_and_over,disability_under_18_with_disability,disability_18-64_with_disability,disability_64_and_over_with_disability,citizenship_native_born,citizenship_foreign_born,age_under_5,age_5-9,age_10-14,age_15-19,age_20-24,age_25-34,age_35-44,age_45-54,age_55-59,age_60-64,age_65-74,age_75-84,age_85_and_over
"0500000US37079-Greene County,North Carolina",21008,2.56,0.02064742737801405,11593,9415,3116,17892,96,20,7393,0,25,495,463,32,9863,8077,2072,1448,1061,1507,1989,7259,6027,5221,623,1035,1497,192,541,432,74,200,404,1910,382,350,437,7259,680,470,1209,940,1089,1330,819,591,46,85,38306,50949,7259,2417,4842,8948,8077,871,8140,10.7,15.2,32.5,21.2,9.8,8.0,2.5,4388,11254,3051,340,2489,1548,19408,1600,1068,1235,1298,1269,1196,2843,3043,2784,1661,1416,1896,879,420
"0500000US37121-Mitchell County,North Carolina",15040,2.31,0.5072173215717722,7400,7640,793,14247,64,45,50,0,0,191,191,0,13897,6254,2004,1097,1096,977,1080,6361,4879,4270,468,539,1027,50,583,148,63,216,258,1470,535,405,492,6361,506,557,780,748,899,1419,789,466,141,56,44186,53708,6361,1545,4816,6534,6254,280,6090,6.7,8.7,33.6,22.2,10.0,12.5,6.3,2768,8641,3519,153,1213,1675,14543,497,669,747,845,934,709,1600,1568,2014,1108,1237,2056,966,587
"0500000US37041-Chowan County,North Carolina",14205,2.33,0.7999713117693467,6653,7552,515,13690,62,0,4834,3,82,214,214,0,8495,5351,1381,1355,1119,296,1200,5984,4821,4013,164,227,658,53,713,431,57,190,423,1474,260,352,349,5984,719,340,797,582,980,1012,672,600,184,98,42621,54988,5984,1711,4273,6015,5351,664,5612,4.7,11.3,34.3,21.5,8.5,13.6,6.1,2993,7808,3142,181,931,1071,13883,322,664,565,1029,930,512,1766,1670,1525,987,1235,1890,914,518
"0500000US37027-Caldwell County,North Carolina",81779,2.48,0.9694196673035034,40354,41425,4315,77464,317,461,3919,41,167,947,947,0,71612,36275,8750,6053,7750,4007,9715,32594,26685,24351,436,2399,9102,1445,4371,1713,623,1251,1940,7032,3112,1670,1181,32594,2438,2694,4302,4173,4986,6055,3937,2674,879,456,42072,55920,32594,9939,22655,38821,36275,2546,28131,7.0,13.3,32.5,22.1,9.9,10.1,5.2,16862,48935,15156,860,7939,5981,78949,2830,4137,4716,4848,4839,4483,9064,9763,12496,6486,5481,9309,4610,1547
"0500000US37035-Catawba County,North Carolina",156729,2.52,0.9832147669936382,76703,80026,14810,141919,384,6550,12479,0,554,3088,2997,91,118864,73002,21477,11486,16259,5615,18165,61099,52643,48165,383,3672,19365,2818,8904,3442,967,3095,5281,13514,6532,3073,1956,61099,3651,3285,7264,6502,9130,12138,7854,7106,2066,2103,51157,67972,61099,18725,42374,78455,73002,5453,47279,5.0,9.8,30.6,21.7,11.0,15.1,6.9,35327,93905,25978,1252,11661,9139,145776,10953,8880,9313,10754,10283,9331,17910,19235,22848,11561,9875,16138,8045,2556
"0500000US37049-Craven County,North Carolina",103082,2.4,0.8787632539970041,52246,50836,7404,95678,535,2828,21871,99,68,2315,2315,0,67962,40506,13933,7794,8181,5014,5584,40871,36624,32930,778,2562,4516,823,4426,2403,630,1928,3016,8855,4107,2282,4180,40871,2534,2204,4289,4851,6155,8346,4909,4558,1660,1365,50870,67598,40871,12535,28336,44019,40506,3513,32002,4.3,7.5,25.9,26.3,10.3,16.4,9.3,22749,54345,18175,1321,8104,6535,98427,4655,6684,6445,5980,6304,10213,13810,11334,10936,6165,6668,10699,5635,2209
"0500000US37065-Edgecombe County,North Carolina",53332,2.46,0.713688995958968,24856,28476,2358,50974,95,55,30485,57,34,854,831,23,19394,21773,5749,4317,4602,2156,4949,21371,15910,13174,597,1462,3925,462,2712,1297,253,898,1413,4954,1723,1013,1064,21371,2435,2117,3257,2778,3043,3495,2231,1387,332,296,35516,49240,21371,6930,14441,23641,21773,1868,18991,7.2,13.1,37.3,20.2,9.6,8.1,4.5,12192,30992,9505,344,4894,3616,52167,1165,3142,3015,3902,3320,3373,6265,5790,6772,4076,3888,5760,3041,988
"0500000US37085-Harnett County,North Carolina",130361,2.82,0.9360364203341964,64574,65787,16196,114165,1036,1328,26503,207,341,4220,4102,118,80530,50735,17382,9046,10654,6350,7303,45086,40224,34415,989,4786,4960,1134,6480,2098,672,1871,4448,11988,4456,2339,4514,45086,3061,2489,5111,4306,6791,9278,6002,5548,1576,924,51630,63154,45086,16772,28314,55073,50735,4338,39589,4.5,9.2,29.9,24.8,10.9,13.7,7.0,34745,74652,15023,1131,9900,5658,122527,7834,9806,9966,9627,8943,8268,20323,17863,16235,7400,6516,9411,4552,1451
"0500000US37089-Henderson County,North Carolina",113625,2.32,0.869863305369842,54724,58901,11423,102202,323,1489,3563,151,371,1748,1632,116,94557,51829,17121,8874,11745,5374,8715,48281,41971,38401,1049,3808,7637,1194,6806,1740,780,2905,4378,12452,4806,2824,1450,48281,2459,2427,5070,5934,6840,9290,6608,6178,1766,1709,52815,68798,48281,11627,36654,53364,51829,1535,40857,3.4,6.7,24.3,23.9,9.9,20.8,11.0,21987,62742,27792,988,7197,8625,105367,8258,5529,6173,6390,6051,5283,11302,12966,14914,8440,8073,16130,8764,3610
"0500000US37095-Hyde County,North Carolina",5393,2.68,0.05266356086692323,2832,2561,536,4857,6,0,1636,0,0,37,37,0,3178,1984,540,378,315,451,300,1769,1390,977,420,117,202,61,176,52,0,75,85,289,268,86,153,1769,192,52,239,166,277,358,255,187,31,12,45466,53393,1769,699,1070,2215,1984,231,2117,3.3,15.1,41.5,22.9,7.7,6.9,2.5,1165,2778,821,0,269,404,5154,239,280,397,262,371,227,702,794,794,287,392,508,265,114
"0500000US37119-Mecklenburg County,North Carolina",1054314,2.57,0.999948664511777,506721,547593,137405,916909,2612,60609,324864,506,3324,26261,25293,968,498733,554107,242720,85913,126889,37655,60930,403546,376743,348885,1410,35128,44031,17028,61172,31363,14412,74748,78214,101848,57546,25931,11276,403546,21428,14141,32203,37126,52593,71598,50091,60308,27574,36484,64312,93951,403546,129994,273552,588213,554107,34106,238313,4.6,5.4,17.4,20.1,7.9,29.5,15.3,253861,685175,109989,6626,47219,33751,895964,158350,71440,72652,69029,66994,69800,177402,157093,143603,62587,51497,68969,31122,12126
"0500000US37131-Northampton County,North Carolina",20186,2.24,0.7923317764204691,9845,10341,427,19759,70,45,11394,0,0,445,422,23,7805,7233,2173,1163,1408,954,1535,8628,6167,4418,364,533,1276,110,861,290,136,156,361,1681,528,337,600,8628,987,722,1381,1136,1329,1435,788,692,71,87,35499,47627,8628,2216,6412,7774,7233,541,9110,6.8,13.7,39.7,17.4,9.6,7.6,5.2,3627,11082,4650,175,2021,1849,19861,325,926,988,1074,1138,1031,2074,1946,2647,1648,1813,2776,1625,500
"0500000US37159-Rowan County,North Carolina",139605,2.59,0.9786816249542524,69165,70440,11986,127619,356,1236,22176,22,148,2623,2595,28,101058,61491,17651,10948,12183,7664,13045,52301,44818,40046,622,5278,10467,1833,7917,3334,514,2366,4324,14267,5439,3509,1621,52301,3862,2667,6381,5927,7934,9862,7134,5346,1896,1292,48667,64271,52301,16008,36293,66597,61491,5106,45382,5.4,9.4,32.8,23.1,10.6,13.6,5.1,31381,83449,22433,1639,11146,8604,133333,6272,7875,8584,9374,9053,8863,16748,16840,19600,10721,8491,13668,7146,2642
"0500000US37181-Vance County,North Carolina",44482,2.59,0.9277422252161222,20823,23659,3369,41113,123,288,22213,28,0,660,612,48,17801,18594,4286,3726,3901,1956,4725,16854,13386,11077,353,1132,3319,615,2855,930,333,588,886,4344,1326,777,1136,16854,1819,1848,2242,2131,2475,2764,1610,1228,393,344,37282,57376,16854,5485,11369,20511,18594,1917,14609,5.8,14.2,37.0,20.1,9.9,8.7,4.2,10586,25952,7512,756,4322,2868,42289,2193,2764,2597,3344,2839,3003,5035,4939,6121,3152,2942,4617,2361,768
"0500000US37053-Currituck County,North Carolina",25796,2.53,0.9608097399322816,12822,12974,981,24815,132,94,1452,6,143,496,490,6,22492,12025,4068,2009,2814,2008,1126,10148,9223,8163,164,1583,988,279,1171,330,246,1074,1206,1944,1360,825,855,10148,561,175,755,881,1287,1969,1665,1928,516,411,66284,77409,10148,3299,6849,12633,12025,608,7726,2.5,8.3,27.7,27.9,10.5,17.3,5.8,5742,15718,3909,353,2039,1319,25276,520,1400,1933,1420,1523,1242,2860,3271,4124,2136,1891,2594,1024,378
"0500000US37179-Union County,North Carolina",226694,2.99,0.9848281440221469,111658,115036,25045,201649,571,6062,25471,96,320,4567,4429,138,164562,109997,43449,16992,25311,9962,14283,75165,70127,67062,1002,8439,13267,3392,14103,4879,2509,10453,11892,22203,9147,5821,2890,75165,2466,2307,4997,5476,8979,13125,10519,13868,6137,7291,75397,101809,75165,33341,41824,116210,109997,6213,55872,3.9,6.3,25.0,21.5,8.5,24.1,10.7,62703,136214,26762,2103,10401,8608,206230,20464,13295,16861,20432,18856,13214,21923,32001,36957,15299,10587,17279,7426,2564
"0500000US37067-Forsyth County,North Carolina",371573,2.46,0.999806428661114,176337,195236,46913,324660,907,8340,95294,165,1389,6721,6484,237,211844,169738,68368,29336,36380,12232,23422,146685,129932,116302,741,9457,20946,4412,19165,7517,2476,12256,19059,45149,15077,8495,4988,146685,11674,8075,16139,16258,21036,25316,17410,17137,6303,7337,50128,73787,146685,43928,102757,181302,169738,11564,113094,4.5,6.7,25.6,21.1,8.2,21.2,12.6,86695,226309,55422,2302,18588,16893,338962,32611,22739,24798,24398,26467,24699,48103,45525,50427,25864,22021,32946,16817,6769
"0500000US37127-Nash County,North Carolina",94003,2.5,0.7978536130140618,45125,48878,6408,87595,574,832,36713,22,92,2006,1966,40,47356,43343,13864,7218,9821,4366,8074,36720,30457,26958,1208,3063,7003,1149,5323,2504,436,2290,2835,9623,3940,1978,1991,36720,2646,2718,4350,3657,5523,6909,3904,4120,1518,1375,48362,67278,36720,11317,25403,46235,43343,2892,29334,4.8,9.8,33.6,20.8,10.1,13.9,6.9,20991,55829,15888,1046,7426,6670,90021,3982,5286,5809,6021,6354,5880,10637,11031,13250,6566,6875,9873,4664,1757
"0500000US37017-Bladen County,North Carolina",33778,2.38,0.6966566835767984,16054,17724,2523,31255,812,35,11648,0,25,269,256,13,18466,12805,3366,2615,2356,2387,2081,13968,10854,9104,1173,1208,1878,130,1502,550,93,327,681,3063,843,465,892,13968,1766,1419,2212,1963,1884,2316,1244,827,187,150,32378,48827,13968,4106,9862,13783,12805,978,13660,6.6,13.3,33.4,22.5,9.1,10.7,4.4,7091,19803,6601,361,3691,2798,32364,1414,1795,1908,2139,2213,1574,3741,4010,4401,2389,2856,4118,1922,712
"0500000US37055-Dare County,North Carolina",35741,2.3,0.9913264341106216,17614,18127,2567,33174,79,228,671,0,87,815,797,18,31294,18054,6113,3559,4666,2140,1576,15441,14538,13498,402,1807,874,346,2703,650,216,1520,1801,2481,3403,1006,845,15441,520,568,1255,1720,2395,3281,2173,2021,707,801,58012,77380,15441,3818,11623,19054,18054,1000,10434,2.7,4.1,23.2,27.0,10.1,21.5,11.5,6905,21494,7153,222,2586,1967,34028,1713,1677,1987,2105,1761,1561,3720,4543,4987,2942,3277,4645,2028,508
"0500000US37185-Warren County,North Carolina",20033,2.45,0.5165475647458314,9985,10048,753,19280,1008,80,10121,10,33,352,352,0,7676,7288,2124,1521,1440,762,1441,7780,5721,4352,116,525,1034,67,1002,337,42,133,467,1920,529,311,805,7780,669,791,1274,1059,1139,1285,627,566,188,182,35962,52946,7780,1632,6148,8012,7288,724,8777,6.2,13.3,34.1,23.6,7.3,10.3,5.3,3686,10886,4555,154,1852,1839,19382,651,857,1054,1044,1273,1388,1823,2044,2517,1566,1731,2765,1410,561
"0500000US37195-Wilson County,North Carolina",81336,2.48,0.9809904524394568,38362,42974,8310,73026,261,643,31763,1,364,1608,1547,61,38386,35051,10984,6306,6843,3773,7145,32128,26397,23664,693,2370,6586,1046,3913,1313,275,2147,2324,8125,2967,1892,1400,32128,2521,2606,4613,3488,4811,5627,3509,3157,971,825,42850,59749,32128,10072,22056,38095,35051,3044,26106,7.5,12.2,31.9,19.6,9.2,13.9,5.7,18958,48074,13211,740,6873,4991,76324,5012,4825,5533,5283,5582,4861,9714,9487,10821,5441,5980,8092,4126,1591
"0500000US37015-Bertie County,North Carolina",19644,2.29,0.7202195598247744,9895,9749,408,19236,206,125,11899,1,7,263,226,37,6735,7496,1987,1167,1420,897,2025,7976,5709,4430,751,358,1542,164,580,225,35,254,303,1952,593,233,506,7976,969,826,1355,1092,1197,1111,580,450,257,139,33143,48897,7976,1889,6087,8486,7496,990,8047,6.7,14.5,38.0,20.0,7.3,8.2,5.2,3498,10872,3985,158,1872,1872,19470,174,844,1035,1010,990,1230,2519,2148,2574,1648,1521,2265,1295,565
"0500000US37073-Gates County,North Carolina",11563,2.57,0.5409963674104826,5627,5936,41,11522,108,55,3891,0,0,180,180,0,7288,5190,1583,788,886,598,1335,4477,3620,3005,167,407,1245,112,421,351,28,124,289,1308,217,181,340,4477,249,157,462,520,727,986,543,582,183,68,52205,64725,4477,1226,3251,5571,5190,381,3874,3.4,10.4,36.3,22.7,12.8,8.6,5.8,2398,6910,2180,241,1247,1026,11497,66,476,717,738,711,576,1205,1252,1804,1079,792,1327,636,250
"0500000US37075-Graham County,North Carolina",8557,2.57,0.535244639260751,4210,4347,129,8428,898,0,13,1,0,88,88,0,7428,3180,829,973,516,382,480,3288,2031,1634,74,437,249,18,266,184,78,78,251,836,439,104,166,3288,415,256,460,452,585,583,303,135,54,45,36525,45558,3288,703,2585,3416,3180,236,3615,7.1,11.9,37.2,23.2,7.1,8.2,5.2,1755,4798,1892,82,717,925,8474,83,357,519,549,642,448,777,920,1138,592,625,1137,540,313
"0500000US37117-Martin County,North Carolina",23054,2.42,0.5990641711229947,10805,12249,895,22159,111,142,9662,0,0,241,231,10,12003,9257,2756,1908,1974,935,1684,9471,7524,5884,485,522,1160,137,1461,431,112,351,520,2588,685,280,525,9471,854,739,1341,1457,1540,1579,1025,495,182,259,39205,55387,9471,2434,7037,10391,9257,1134,8481,5.9,10.8,34.5,22.5,9.5,10.4,6.4,4769,13202,4931,225,2129,2082,22611,443,1233,1259,1438,1375,1181,2427,2360,3041,1961,1749,2995,1407,628
"0500000US37115-Madison County,North Carolina",21405,2.4,0.6303838198115376,10502,10903,514,20891,93,119,358,0,0,181,179,2,20140,9511,3177,1921,1559,1386,1468,8452,6846,5960,258,1245,790,84,1164,436,180,200,742,2512,1002,519,379,8452,669,641,1099,941,1508,1414,815,791,307,267,42410,61590,8452,2141,6311,10070,9511,559,7826,6.9,7.7,30.7,19.1,8.0,16.3,11.3,3880,12982,4308,211,1838,1517,20997,408,956,1001,1132,1601,1459,2217,2510,2847,1687,1509,2667,1356,463
"0500000US37137-Pamlico County,North Carolina",12742,2.25,0.858950180732359,6563,6179,477,12265,22,75,2296,0,24,390,390,0,9458,4806,1503,774,1004,801,724,5352,4520,3709,281,383,352,103,588,263,50,269,418,1030,424,302,343,5352,415,310,681,684,859,914,630,554,140,165,44947,62842,5352,980,4372,5220,4806,414,5805,2.7,9.2,30.3,27.8,10.5,12.1,7.3,1971,6579,3495,98,1116,1363,12376,366,463,554,552,569,660,1303,1308,1505,1003,1242,2154,1079,350
"0500000US37143-Perquimans County,North Carolina",13459,2.26,0.8668102807903729,6493,6966,346,13113,54,39,3183,11,31,91,91,0,9704,5305,1694,1053,1002,675,881,5919,4899,4100,216,381,547,56,783,317,35,296,342,1332,448,236,316,5919,513,299,848,664,961,972,730,636,186,110,45915,58960,5919,1366,4553,5688,5305,383,5437,5.3,8.2,30.8,25.5,9.9,14.1,6.3,2571,7188,3546,71,798,1186,13181,278,612,694,832,760,447,1322,1322,1717,966,1204,2151,1102,330
"0500000US37149-Polk County,North Carolina",20458,2.22,0.7738744390290981,9682,10776,1184,19274,11,77,1050,0,449,144,144,0,17543,8617,3126,1616,1728,1001,1146,9047,7813,6903,117,916,975,200,994,374,149,427,825,2213,701,479,247,9047,504,296,1077,1095,1628,1893,1013,801,403,337,48834,67301,9047,1826,7221,9092,8617,475,8330,3.7,5.3,26.0,23.1,10.1,19.0,12.7,3428,10944,5795,98,1406,2199,19718,740,678,934,1143,1000,900,1761,1922,2598,1605,1901,3223,1932,861
"0500000US37151-Randolph County,North Carolina",142958,2.53,0.9726796876087592,70428,72530,16069,126889,405,1661,8495,20,459,2403,2355,48,113446,65738,17797,10092,14135,7310,16404,56041,46499,39776,1169,4928,15585,1773,7309,3657,764,2670,4880,12546,5087,3396,1974,56041,3723,3579,6992,6926,9182,10837,6621,5674,1546,961,45006,60323,56041,17860,38181,69457,65738,3719,44585,6.5,12.1,33.8,21.9,9.9,11.4,4.4,32981,85200,23516,1781,12076,8350,133730,9228,8098,8760,9985,9344,8141,16391,17509,20954,10509,9054,14469,7365,2379
"0500000US37157-Rockingham County,North Carolina",91270,2.41,0.9664209034271336,43989,47281,5496,85774,386,544,16759,59,187,1658,1633,25,66181,39463,10069,7657,8864,4666,8207,37201,29401,25446,630,3067,7244,887,5489,2055,403,1723,3190,8197,2525,2292,1761,37201,3213,2740,4746,4797,5687,6774,4014,3614,1025,591,42490,56237,37201,10967,26234,42031,39463,2568,32707,5.5,11.9,34.5,23.9,9.2,10.5,4.5,18793,54302,17061,914,8035,5221,87854,3416,4705,5181,5458,5331,5131,9759,10719,13181,7134,6963,10233,5317,2158
"0500000US37169-Stokes County,North Carolina",45905,2.35,0.9731745300607576,22483,23422,1314,44591,188,173,1957,13,18,359,315,44,41883,20742,6060,3870,3725,2469,4618,19302,15456,13034,203,1619,3826,590,2017,1455,183,1040,1895,4752,1331,959,872,19302,1358,1257,2389,2002,3299,3821,2914,1502,570,190,46169,58238,19302,5410,13892,22142,20742,1400,15874,4.7,11.7,41.1,19.4,9.7,10.2,3.1,8920,27745,8770,455,3375,3148,45199,706,2051,2369,2731,2783,2369,4800,5286,7094,3858,3466,5363,2760,975
"0500000US37187-Washington County,North Carolina",12156,2.37,0.8287564766839378,5726,6430,641,11515,32,21,5755,0,31,272,266,6,5404,4454,760,988,963,592,1151,5073,3633,2945,201,352,967,176,505,202,32,149,189,860,347,210,264,5073,926,222,704,619,878,973,470,201,40,40,35512,44474,5073,1318,3755,4813,4454,359,5198,9.4,10.7,35.8,24.0,8.9,7.9,3.4,2469,6847,2678,86,1476,1202,11849,307,636,643,719,789,983,1001,1264,1362,918,1067,1659,1012,103
"0500000US37029-Camden County,North Carolina",10447,2.71,0.9273028434710592,5263,5184,296,10151,8,186,1462,0,0,95,95,0,8400,4473,1606,956,899,448,564,3836,3415,3208,152,256,455,75,518,178,6,246,324,1101,317,279,566,3836,168,128,211,481,503,757,741,584,210,53,63349,72227,3836,1313,2523,4933,4473,460,3108,6.5,7.9,28.9,24.9,14.0,11.8,6.1,2491,6030,1782,33,777,592,10145,302,492,681,882,618,515,1046,1398,1685,699,649,1074,538,170
"0500000US37043-Clay County,North Carolina",10813,2.13,0.6851571543050485,5125,5688,340,10473,36,20,226,16,0,42,42,0,10133,4391,1453,1047,796,617,478,5062,4397,3848,106,571,220,70,634,164,60,259,355,804,658,242,248,5062,401,320,693,853,1065,758,464,267,99,142,38801,56872,5062,1019,4043,4496,4391,105,4548,3.5,8.0,34.2,21.8,9.7,13.6,9.2,1883,5751,3153,63,959,964,10469,344,401,719,610,322,463,1005,1059,1218,805,1039,1927,955,290
"0500000US37051-Cumberland County,North Carolina",332106,2.55,0.9941014291888348,165152,166954,37826,294280,4104,7992,119158,820,632,15430,15142,288,146144,125926,42414,25587,30038,10561,17326,124418,111378,101614,667,6532,9890,1999,17886,5386,2376,4762,10248,33424,13714,6400,12642,124418,10409,7162,14604,15830,19555,23082,14479,12641,3932,2724,45716,60149,124418,41270,83148,138439,125926,12513,91237,2.9,6.4,25.5,29.1,11.1,16.3,8.7,82307,182869,36478,5633,29421,16341,310865,21241,25422,22919,21363,22889,34692,56934,38887,37095,18774,15831,22189,11319,3792
"0500000US37071-Gaston County,North Carolina",216585,2.62,0.9978799782653234,104371,112214,14642,201943,678,3332,34288,55,734,4692,4667,25,158164,98902,30822,16936,21917,9777,19450,81494,69497,63305,643,6296,17213,3158,12306,7094,1540,5697,8813,18995,8243,5579,3325,81494,5481,4945,9912,9342,11475,15297,9936,9514,3186,2406,49384,66440,81494,25620,55874,106027,98902,7125,66965,4.9,10.3,30.8,23.2,10.1,14.4,6.1,49413,132424,32714,2405,18433,12741,204586,11999,12918,13657,14128,13698,12976,27309,28108,31689,14626,13719,20234,9459,4064
"0500000US37081-Guilford County,North Carolina",523582,2.49,0.9979373382728,248019,275563,40824,482758,1992,25574,175353,195,2019,11242,10649,593,266383,250123,96979,42002,57740,16981,36421,202731,174779,147246,1176,12784,31486,8302,30086,13720,4216,17442,25659,60308,24412,13219,7313,202731,13790,11421,21494,22994,29748,35873,23192,24651,9202,10366,51072,73833,202731,63387,139344,266134,250123,16011,153528,4.0,6.9,23.8,21.6,8.5,22.7,12.6,117650,328191,73787,4321,29326,23937,469638,53944,31196,32003,34068,39073,38584,71822,65502,70982,34339,30273,44262,21984,9494
"0500000US37099-Jackson County,North Carolina",42256,2.32,0.4071646410851655,20838,21418,2376,39880,3273,277,897,0,57,1174,1164,10,34202,18614,6411,4726,4076,1724,1677,16642,13827,11180,285,1301,762,267,2342,376,189,700,1507,5466,3648,845,926,16642,1426,1240,2199,1784,2513,3094,1972,1672,271,471,44028,58048,16642,3657,12985,19540,18614,926,16310,4.3,7.3,26.7,20.0,11.2,16.4,14.1,7138,27056,7850,233,3234,2448,40989,1267,1950,1889,2098,4083,5257,4705,4199,4697,2431,2971,4940,2490,546
"0500000US37125-Moore County,North Carolina",95629,2.42,0.8831909114340663,46002,49627,6214,89415,778,1313,12083,100,58,1262,1236,26,73821,39935,16022,8232,7781,3504,4396,38965,33352,31457,1214,2239,3547,671,3734,1521,631,1946,4212,11227,4293,2528,2172,38965,2356,1820,4261,3442,5055,6870,5424,5553,1813,2371,57899,79036,38965,10097,28868,42179,39935,2244,33272,3.3,6.3,22.0,21.2,10.3,22.1,14.8,20330,50395,21772,1393,5779,7315,91348,4281,5363,6083,5514,5190,4343,10691,11031,11873,6423,6420,12038,7286,3374
"0500000US37155-Robeson County,North Carolina",133442,2.83,0.8418066985645933,64365,69077,11566,121876,52256,820,31882,20,262,2624,2460,164,34012,47923,12509,8916,8802,6951,10745,45969,32950,24935,1366,4573,8391,835,5355,2270,268,1428,2512,12738,3253,2079,2855,45969,6354,4377,6817,6128,6697,7159,3926,3089,815,607,33679,47980,45969,15419,30550,52163,47923,4240,51373,8.3,14.6,34.0,20.8,9.1,9.1,4.1,33808,79506,18400,1307,11779,8660,127802,5640,9037,10024,9038,10185,9500,16816,16233,16851,8623,8180,11803,5169,1983
"0500000US37167-Stanly County,North Carolina",61114,2.49,0.978902953586498,30445,30669,2506,58608,160,1172,6751,9,88,1019,970,49,49409,28295,8175,5626,5243,3776,5475,23717,20371,18330,840,2576,4524,602,3437,1102,266,1331,1786,6854,1781,1671,1525,23717,1505,1527,2324,2715,3875,4729,2861,3051,646,484,49590,61826,23717,7509,16208,30160,28295,1865,19176,4.3,10.6,34.7,23.0,11.6,11.2,4.6,13265,35696,10781,701,4596,3472,59265,1849,3439,3601,3870,3783,3766,7251,7189,8718,4361,3894,6762,3327,1153
"0500000US37183-Wake County,North Carolina",1046558,2.62,0.9978727289245004,508866,537692,105361,941197,2704,69780,207445,434,3282,26355,25272,1083,631197,551929,279874,75718,121306,32224,42807,390498,372805,350230,1920,30549,46962,14181,55561,20500,16736,43909,104867,115396,49861,24845,26642,390498,13630,11639,23834,29179,45528,66961,52532,71726,35686,39783,76956,102190,390498,141830,248668,576748,551929,24819,241170,3.3,4.0,15.4,17.3,8.2,32.6,19.3,255695,671390,111392,9070,45020,34012,908101,138457,66389,71826,74459,72327,66675,154792,158740,151096,64208,52194,70963,31135,11754
"0500000US37199-Yancey County,North Carolina",17667,2.37,0.4185332067251299,8648,9019,899,16768,63,43,129,6,0,167,167,0,16360,7159,2353,1311,1226,1018,1251,7402,5533,4755,302,740,1294,82,691,295,118,293,469,1694,420,314,447,7402,705,515,1050,1006,1009,1531,626,632,215,113,39888,53656,7402,1855,5547,7764,7159,605,7024,5.5,10.3,32.6,21.8,9.8,12.2,7.7,3294,9931,4295,142,1546,1560,17117,550,826,825,1022,929,946,1728,1966,2410,1259,1377,2507,1505,367
"0500000US37037-Chatham County,North Carolina",69791,2.42,0.7799621318938081,33477,36314,8626,61165,144,1083,7909,30,384,1693,1683,10,49922,31532,13305,5388,5710,3265,3864,28527,24971,21922,446,3106,4282,452,3050,1188,445,1364,3564,8230,2451,1913,1041,28527,1284,1336,3144,2462,3154,4817,3164,4462,1909,2795,63531,93278,28527,7658,20869,33230,31532,1698,24003,5.3,6.5,21.4,17.5,8.1,22.0,19.3,14332,38938,15862,666,4811,5071,63742,6049,3453,4175,4198,3696,3208,6219,8224,9853,5440,5019,9507,4437,2362
"0500000US37111-McDowell County,North Carolina",45109,2.45,0.7760244781991039,22833,22276,2700,42409,173,337,1614,14,195,614,602,12,39462,18674,5099,3353,3227,2038,4957,17961,14618,12590,174,1391,4967,464,2103,604,88,448,1054,4198,1443,731,1009,17961,1451,1094,2335,2728,3031,3135,2043,1475,387,282,40913,55686,17961,5303,12658,19817,18674,1143,17205,5.5,10.7,33.5,21.3,12.1,11.9,5.0,9265,26340,8600,645,5180,3523,43357,1752,1972,3027,2581,2598,2340,5108,5681,6323,3650,3034,5156,2808,831
